index,project,noOfBedRoom,propertyType,district,rent,mean_areaSqft,lat,long,rentCategory
423,CHIVERTON,3,Private Condominium,10.0,4875.0,1250.0,1.31741387816496,103.82907051333278,Average
425,CHNG MANSIONS,3,Private Condominium,15.0,5150.0,1750.0,1.2986409219678303,103.88782318489734,Average
426,CHOON KIM HOUSE,3,Private Condominium,19.0,3000.0,1050.0,1.3544238046274018,103.87921777463563,Low
427,CHOON MOEY MANSIONS,3,Private Condominium,14.0,2300.0,1183.3333333333333,1.3155964942896954,103.88712733250884,Low
429,CHUAN PARK,3,Private Condominium,19.0,4200.0,1450.0,1.3522543255274189,103.86524851766892,Low
434,CITY EDGE,3,Private Condominium,11.0,5500.0,1150.0,1.3195820642979512,103.84655425753358,High
437,CITY GATE,3,Private Condominium,7.0,4833.333333333333,950.0,1.3022897198053094,103.86232972446916,Average
441,CITY REGENCY,3,Private Condominium,12.0,5500.0,950.0,1.3263217762567934,103.86391288275138,High
444,CITY SQUARE RESIDENCES,3,Private Condominium,8.0,5912.903225806452,1259.6774193548388,1.3110191847374284,103.85741398199512,High
449,CITYLIFE@TAMPINES,3,Executive Condominium,18.0,4316.666666666667,1150.0,1.3599751851579926,103.94118416116392,Low
453,CITYLIGHTS,3,Private Condominium,8.0,6220.0,1350.0,1.3083490347383098,103.86320427610384,High
456,CITYSCAPE @FARRER PARK,3,Private Condominium,8.0,5650.0,1325.0,1.3180973874248545,103.85153650185784,High
460,CLAREMONT,3,Private Condominium,9.0,4775.0,1050.0,1.2961727986268092,103.83765433943562,Average
463,CLEMENTI PARK,3,Private Condominium,21.0,5472.727272727273,1786.3636363636363,1.3308263110462262,103.76649979646172,High
466,CLEMENTIWOODS CONDOMINIUM,3,Private Condominium,5.0,5800.0,1500.0,1.2966554465737028,103.76827182173744,High
468,CLIFTEN,3,Private Condominium,10.0,9500.0,2050.0,1.317764106722506,103.8290960191954,Extreme
469,CLIVEDEN AT GRANGE,3,Private Condominium,10.0,12200.0,2150.0,1.299814554950213,103.8259306060416,Extreme
471,CLOVER BY THE PARK,3,Private Condominium,20.0,5719.0,1292.857142857143,1.3600014667160942,103.84625772175676,High
475,CLYDES RESIDENCE,3,Private Condominium,8.0,5000.0,1150.0,1.3172168382841931,103.85217193875827,Average
476,COASTAL BREEZE RESIDENCES,3,Private Condominium,17.0,3800.0,1150.0,1.3785585806585972,103.9571788507329,Low
478,COASTARINA,3,Private Condominium,15.0,4625.0,900.0,1.3094788613763786,103.91842705469482,Average
481,COCO PALMS,3,Private Condominium,18.0,4564.285714285715,985.7142857142857,1.371571562200452,103.94638688800651,Average
486,COMMONWEALTH TOWERS,3,Private Condominium,3.0,6560.0,1010.0,1.295511410052124,103.80659467268616,High
489,COMPASS HEIGHTS,3,Private Condominium,19.0,4400.0,1316.6666666666667,1.3919758385054375,103.8961466650064,Average
495,CORALIS,3,Private Condominium,15.0,5600.0,1250.0,1.304437220500673,103.90550169518208,High
498,CORALS AT KEPPEL BAY,3,Private Condominium,4.0,8433.333333333334,1366.6666666666667,1.266292803324782,103.81715074008112,Extreme
503,COSTA DEL SOL,3,Private Condominium,16.0,6008.695652173913,1341.304347826087,1.3120553158665793,103.94032030024218,High
507,COSTA RHU,3,Private Condominium,15.0,8162.5,1884.375,1.2971351428294635,103.8669798025289,Extreme
509,COSY 23,3,Private Condominium,14.0,4500.0,1050.0,1.3126661563235826,103.88641384365148,Average
510,COSY LODGE,3,Private Condominium,14.0,4450.0,1250.0,1.3151344483898435,103.88664301988946,Average
513,COTE D'AZUR,3,Private Condominium,15.0,6037.5,1325.0,1.3007627275626417,103.9036580759257,High
514,COUNTRY GRANDEUR,3,Private Condominium,20.0,5166.666666666667,1450.0,1.3606086352687945,103.83127646332568,Average
516,COUNTRY PARK CONDOMINIUM,3,Private Condominium,16.0,5175.0,1650.0,1.3215575306807372,103.95449622570136,Average
520,CRESCENDO BUILDING,3,Private Condominium,15.0,4300.0,1250.0,1.3130780313581516,103.9263971874428,Low
521,CRESCENDO PARK,3,Private Condominium,15.0,4666.666666666667,1450.0,1.3133406686107605,103.92627746771726,Average
523,CRYSTAL LODGE,3,Private Condominium,14.0,3825.0,1150.0,1.3113268272557943,103.8797217925298,Low
524,CRYSTAL RHU,3,Private Condominium,15.0,5400.0,1250.0,1.2989203479893388,103.88391818837066,High
527,CUBE 8,3,Private Condominium,11.0,6200.0,1400.0,1.3282980077044817,103.8414761257905,High
531,CYAN,3,Private Condominium,10.0,8040.0,1470.0,1.3171616626519491,103.82991119585144,Extreme
535,D' CASITA,3,Private Condominium,14.0,4200.0,1150.0,1.321954559808744,103.9092746553046,Low
539,D'CHATEAU @ SHELFORD,3,Private Condominium,11.0,5400.0,1700.0,1.3279983235466284,103.81179584529023,High
541,D'ECOSIA,3,Private Condominium,15.0,7000.0,2450.0,1.3060201289860638,103.91025554270186,Extreme
